[2023-10-11T15:02:50.448266+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-11T15:02:50.452513+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0001s [] []
[2023-10-11T15:02:50.483982+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0019s [] []
[2023-10-11T15:02:50.990917+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0023s [] []
[2023-10-11T15:02:52.494900+00:00] console.INFO: [302] POST/admin/auth/login ..................... ~0.0025s [] []
[2023-10-11T15:02:52.500250+00:00] console.INFO: [200] GET/admin ..................... ~0.0021s [] []
[2023-10-11T15:02:52.513333+00:00] console.INFO: [200] GET/admin ..................... ~0.0004s [] []
[2023-10-11T15:02:52.552560+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0015s [] []
[2023-10-11T15:03:08.196026+00:00] console.INFO: [200] GET/admin ..................... ~0.0035s [] []
[2023-10-11T15:03:08.212164+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-11T15:03:08.260033+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0027s [] []
[2023-10-11T15:03:08.744863+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0023s [] []
[2023-10-11T15:03:10.149262+00:00] console.INFO: [302] POST/admin/auth/login ..................... ~0.0020s [] []
[2023-10-11T15:03:10.154323+00:00] console.INFO: [200] GET/admin ..................... ~0.0025s [] []
[2023-10-11T15:03:10.167406+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-11T15:03:10.206906+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0019s [] []
[2023-10-11T15:15:48.374314+00:00] console.INFO: [200] GET/admin ..................... ~0.0048s [] []
[2023-10-11T15:15:48.390340+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-11T15:15:48.393484+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0001s [] []
[2023-10-11T15:15:48.430821+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0024s [] []
[2023-10-11T15:15:49.634418+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0022s [] []
[2023-10-11T15:15:50.970546+00:00] console.INFO: [200] GET/admin ..................... ~0.0023s [] []
[2023-10-11T15:15:53.472440+00:00] console.INFO: [302] POST/admin/auth/login ..................... ~0.0020s [] []
[2023-10-11T15:15:53.490535+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0005s [] []
[2023-10-11T15:15:53.527216+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0023s [] []
[2023-10-11T15:16:32.718506+00:00] console.INFO: [200] GET/admin ..................... ~0.0030s [] []
[2023-10-11T15:16:32.737767+00:00] console.INFO: [200] GET/admin ..................... ~3.1948s [] []
[2023-10-11T15:16:32.790961+00:00] console.INFO: [200] GET/admin ..................... ~0.0044s [] []
[2023-10-11T15:16:35.194436+00:00] console.INFO: [200] GET/admin ..................... ~0.0030s [] []
[2023-10-11T15:16:35.209662+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0002s [] []
[2023-10-11T15:16:35.241030+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0031s [] []
[2023-10-11T15:16:35.516932+00:00] console.INFO: [200] GET/admin/auth/login ..................... ~0.0024s [] []
[2023-10-11T15:16:37.368816+00:00] console.INFO: [302] POST/admin/auth/login ..................... ~0.0023s [] []
[2023-10-11T15:16:37.373825+00:00] console.INFO: [200] GET/admin ..................... ~0.0020s [] []
[2023-10-11T15:16:37.390625+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0004s [] []
[2023-10-11T15:16:37.394626+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0001s [] []
[2023-10-11T15:16:37.423489+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0020s [] []
[2023-10-11T15:16:53.723885+00:00] console.INFO: [302] POST/admin/auth/login ..................... ~0.0027s [] []
[2023-10-11T15:16:53.728524+00:00] console.INFO: [200] GET/admin ..................... ~0.0020s [] []
[2023-10-11T15:16:53.741400+00:00] console.INFO: [200] GET/public/assets/css/style.css ..................... ~0.0001s [] []
[2023-10-11T15:16:53.742870+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0001s [] []
[2023-10-11T15:16:53.777783+00:00] console.INFO: [200] GET/public/assets/css/fonts/icomoon.ttf?evlvjx ..................... ~0.0024s [] []
[2023-10-11T15:16:57.588818+00:00] console.INFO: [200] GET/admin ..................... ~0.0037s [] []
[2023-10-11T15:17:00.751042+00:00] console.INFO: [200] GET/public/assets/js/admin/app.js ..................... ~0.0004s [] []
